0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,action
0.38,-0.17,0.0295,0.12399495957497628,0.12250000000000001,0.09345,0.29,-0.21,0.07525000000000001,0.12116079192544095,0.14750000000000002,0.09825,0.28,-0.29,0.00875,0.1306557978047664,0.165,0.1003125,129.86,-88.71,-0.2297499999999985,52.169378110511346,71.57,41.696775,195.8,-173.34,6.331750000000001,91.83293284240409,116.14500000000001,75.32866250000001,233.28,-159.36,-11.310000000000002,71.56332234462009,95.825,54.2235,0
0.4,-0.89,-0.25125,0.2889306794025169,0.35,0.22156249999999997,0.91,-0.42,0.217,0.2445628753511048,0.22250000000000003,0.18255,0.64,-0.82,-0.231,0.35348833078335135,0.4,0.28825,179.66,-146.95,-4.66175,62.477211681040146,51.42,42.884425,275.26,-201.45,0.8140000000000015,111.3464502307999,91.0875,83.217,94.61,-137.85,0.043250000000000455,46.51550850993139,27.385,31.9357625,0
0.95,-0.58,0.07225000000000001,0.2714911370560741,0.0425,0.14315,0.33,-0.51,0.0655,0.12978732603763743,0.0325,0.07252499999999999,0.14,-1.06,-0.14425000000000004,0.26107362467319445,0.04,0.16922500000000004,171.05,-68.04,8.061249999999998,47.52447633522646,7.7075,29.224124999999997,272.76,-62.98,36.2495,87.18308141348297,40.0225,63.852250000000005,50.06,-101.04,-2.3352500000000003,25.20996172027042,8.585,15.769612500000003,0
1.64,-1.07,0.0595,0.6431794073196063,0.6925,0.5053750000000001,2.57,-1.06,0.666,0.8651641462751447,0.92,0.7172000000000001,1.91,-1.84,0.04674999999999998,0.7320805539693019,0.33499999999999996,0.4681125,128.43,-318.93,-6.355249999999996,91.48251510500519,89.115,64.199725,273.11,-214.15,35.3505,110.12036889127279,140.845,88.55255,282.77,-259.19,24.447499999999998,136.8363468664302,97.1425,97.54175,2
0.74,-0.39,0.15950000000000003,0.29421038390920196,0.40249999999999997,0.247975,0.99,-0.52,0.40199999999999997,0.3765580964472813,0.5149999999999999,0.3054,0.32,-0.72,-0.23650000000000002,0.29751932710329926,0.5349999999999999,0.26032500000000003,109.88,-132.55,-7.636,46.28118542129188,52.0775,35.6253,173.58,-167.29,-15.614999999999998,84.10710647739585,107.9725,69.37275,151.55,-76.98,2.903,60.35548356197637,73.245,48.335950000000004,4
0.3,-0.56,0.026249999999999996,0.12982078993751348,0.1025,0.0775625,0.2,-0.05,0.10124999999999999,0.049909292721896995,0.039999999999999994,0.0366875,0.34,-0.1,0.07775000000000001,0.10206584884279364,0.10500000000000001,0.0766875,37.6,-126.36,-9.73475,24.197151897227492,9.815,13.091699999999998,270.92,-176.6,13.764000000000005,80.95711453603074,35.765,51.78280000000001,42.74,-51.65,-2.38125,16.7564748959171,11.2675,11.105500000000001,0
1.01,-0.83,-0.017000000000000005,0.30965464634007994,0.18250000000000002,0.21289999999999995,1.44,-0.91,0.38249999999999995,0.44571150983567837,0.25,0.29874999999999996,0.33,-1.38,-0.17775,0.34153687575428804,0.2075,0.22735,130.96,-203.96,4.347249999999999,72.06237731949662,60.515,51.636525000000006,106.85,-128.67,9.575500000000002,58.743911639845706,69.7875,46.832725,79.34,-143.41,8.780750000000001,54.43421774892609,69.1625,43.8157125,4
1.85,-1.1,0.11424999999999999,0.6342786749528948,0.4875,0.456025,1.8,0.0,0.57675,0.5517217935699115,0.8649999999999999,0.489775,0.57,-2.07,-0.41150000000000003,0.553762358778565,0.4750000000000001,0.4101000000000001,139.89,-253.4,-3.6705000000000014,84.08228627213938,25.475,52.27175,231.89,-270.45,16.536499999999997,103.5790827471937,54.535,68.69845000000001,273.92,-262.43,-14.397499999999999,109.97719010663074,77.5125,73.71149999999999,3
2.07,-0.76,-0.10024999999999999,0.40438525875704223,0.19250000000000003,0.20231249999999998,1.56,-0.02,0.3865,0.3980863599773295,0.33999999999999997,0.31242499999999995,0.7,-2.1,-0.27075,0.5179642241506647,0.21500000000000002,0.309625,124.38,-267.34,0.8642499999999999,67.34961023968512,25.3225,37.738675,265.69,-196.65,7.100499999999999,100.20227005786845,34.8425,63.6722,277.65,-262.15,-11.876750000000001,100.55683719637119,20.5975,59.758950000000006,3
2.01,-0.9,-0.04350000000000001,0.5670033068686636,0.38,0.3372,1.59,-1.3,0.08349999999999999,0.6636209384882307,0.2325,0.40795000000000003,0.35,-1.64,-0.0225,0.3964262226442645,0.09,0.22999999999999998,251.32,-267.14,11.489250000000002,110.91034188450372,57.375,70.8529875,272.88,-271.22,19.94975,141.47923321971143,103.8725,101.95765,279.58,-264.08,31.30400000000001,133.45981645798858,50.947500000000005,94.2097,2
1.14,-1.79,-0.009499999999999998,0.7609170454129675,0.8275,0.5878,1.15,-1.02,0.34400000000000003,0.5604096715796401,0.8125,0.4704,2.19,-2.15,-0.14424999999999996,0.9523494303563163,0.4475,0.656025,205.06,-265.67,-5.334249999999997,95.44127788560618,104.7425,67.767525,274.1,-271.48,0.9937499999999992,150.1112546194905,122.575,111.058625,280.89,-264.7,25.175500000000007,159.72753197163598,126.9875,117.90349999999998,2
0.51,-0.9,-0.03075,0.31028525182483296,0.15,0.230125,1.48,-0.94,0.15300000000000002,0.42678566049013406,0.08750000000000002,0.253,0.9,-2.06,-0.21025,0.5435369697637871,0.2825,0.3663624999999999,179.97,-319.84,-20.05075,95.67074431056497,15.4475,52.6011625,269.55,-272.28,10.451999999999998,117.81545359586745,32.415,70.6905,158.47,-260.19,-26.954,76.59287972129002,42.050000000000004,49.7323,3
1.12,-0.92,-0.053500000000000006,0.34252408674427554,0.18500000000000003,0.22572500000000004,1.71,-1.06,0.2385,0.5215819686300515,0.155,0.3283250000000001,0.45,-1.99,-0.31425000000000003,0.5860413274676113,0.675,0.467525,196.24,-321.77,-8.950999999999997,128.17713340920056,70.245,84.2923,266.41,-272.27,-3.7375,123.91933857856893,101.155,88.04512500000001,231.62,-217.47,-25.746499999999997,70.10381874584294,57.175,48.363775,3
0.36,-0.6,0.022500000000000003,0.15094286998729023,0.075,0.08837500000000001,0.71,-0.81,0.10550000000000001,0.24562115136933954,0.06,0.14137500000000003,0.08,-0.93,-0.24400000000000005,0.2553801088573658,0.20249999999999996,0.2048,115.79,-83.33,10.717500000000001,41.75240458644268,42.897499999999994,31.664750000000005,165.48,-135.56,15.52725,59.49088640235158,72.0275,46.197700000000005,103.16,-119.22,4.1092499999999985,33.19332292702103,28.14,20.2426375,4
1.02,-0.94,0.011000000000000005,0.3870645940925106,0.41500000000000004,0.28175,1.79,-0.9,0.6064999999999999,0.6059601884612552,0.8749999999999999,0.5088250000000001,0.16,-1.51,-0.509,0.48395144384535105,0.77,0.41535,97.46,-250.57,-15.848249999999998,71.84732468531796,69.44749999999999,49.86163749999999,273.29,-268.85,4.829749999999998,112.90091147744336,71.49000000000001,75.12925,196.1,-261.07,-23.104,92.24654095953952,58.595,65.61800000000001,3
0.13,-0.56,-0.267,0.1177327482054165,0.05000000000000002,0.06925,0.75,-0.13,0.17550000000000002,0.1704398720957042,0.05000000000000002,0.1068,0.11,-0.37,-0.10900000000000001,0.07664202502543888,0.05250000000000002,0.05075,85.7,-148.39,-6.0577499999999995,37.985860098693294,18.8775,23.3043625,212.29,-264.92,10.66875,82.16895980805343,41.3925,49.190250000000006,72.45,-124.66,-1.0014999999999994,37.08201488255459,22.625,24.042650000000002,4
